A	filename	PSG filename
B	id1	subject identification
C	cyc_def_option	"Method used to split the sleep period in sleep cycles, it defines the criteria. I.e. : ""Minimum criteria""  ""Aeschbach 1993""  ""Feinberg 1979"""
D	cyc_def_include_soremp	Include a REM sleep periods (REMP) that occur within 15 minutes of sleep onset.
E	cyc_def_include_last_incomplete	Include the last sleep cycle even if the NREM period (NREMP) or REMP does not meet the minimum duration criteria.
F	cyc_def_rem_min	Minimum length without R stage to end the REMP.
G	cyc_def_first_nrem_min	Minimum length of the first NREMP in minutes.
H	cyc_def_mid_last_nrem_min	Minimum length of the middle and last NREMP in minutes.
I	cyc_def_last_nrem_valid_min	Minimum length of the NREMP in minutes to validate the last sleep cycle.
J	cyc_def_first_rem_min	Minimum length of the first REMP in minutes.
K	cyc_def_mid_rem_min	Minimum length of the middle REMP in minutes.
L	cyc_def_last_rem_min	Minimum length of the last REMP in minutes.
M	cyc_def_move_end_rem	"Move the end of the REMP to the start of the following NREMP, eliminating the temporal ""gap"" between 2 cycles."
N	cyc_def_sleep_stages	"List of valid stages used to define the sleep cycles:  ""N1, N2, N3, R"" or ""N2, N3, R"""
O	min_sec	Minimum duration of the spindle in sec.
P	max_sec	Maximum duration of the spindle in sec.
Q	sleep_stage_sel	Sleep stages selection to detect spindles in.
R	detect_in_cycle	Flag to detect spindle in sleep cycles only.
S	detect_exclude_remp	Flag to exclude rem period from the spindle detection.
T	spindle_event_name	Spindle event name (specific to the detection algorithm).
U	threshold	Threshold (percentile) specific to martin detector
V	threshold_per_cycle	Flag to compute a threshold for each sleep cycle.
W	precision_on	Flag to precise the onset and the duration of the spindle based on RMS sliding windows.
X	artefact_group_name_list	List of groups and names of the artifact excluded from the spindle detection
Y	chan_label	The label of the channel.
Z	chan_fs	The sampling rate (Hz) of the channel.
AA	sleep_cycle_count	Number of sleep cycles.
AB	sleep_period_min	Total period for detection - Duration (min) of the sleep period.
AC	total_N1_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in N1 stage minus the REM periods if excluded.
AD	total_N2_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in N2 stage minus the REM periods if excluded.
AE	total_N3_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in N3 stage minus the REM periods if excluded.
AF	total_N2N3_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in N2 and N3 stage minus the REM periods if excluded.
AG	total_NREM_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in NREM stage (N1, N2, N3) minus the REM periods if excluded.
AH	total_R_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep period in REM stage.
AI	total_valid_min	Valid (no artifact) period for detection - Valid duration (min) of the sleep stage selected minus thoses included in REM periods if remps are excluded.
AJ	total_N1_spindle_count	Total - Sleep spindle count in N1 stage.
AK	total_N2_spindle_count	Total - Sleep spindle count in N2 stage.
AL	total_N3_spindle_count	Total - Sleep spindle count in N3 stage.
AM	total_N2N3_spindle_count	Total - Sleep spindle count in N2 and N3 stage.
AN	total_NREM_spindle_count	Total - Sleep spindle count in NREM stage (N1, N2, N3).
AO	total_R_spindle_count	Total - Sleep spindle count in REM stage.
AP	total_spindle_count	Total - Sleep spindle count in all stages.
AQ	total_N1_density	Total - Spindle density (count/min) in N1 stage.
AR	total_N2_density	Total - Spindle density (count/min) in N2 stage.
AS	total_N3_density	Total - Spindle density (count/min) in N3 stage.
AT	total_N2N3_density	Total - Spindle density (count/min) in N2 and N3 stage.
AU	total_NREM_density	Total - Spindle density (count/min) in NREM stage (N1, N2, N3).
AV	total_R_density	Total - Spindle density (count/min) in REM stage.
AW	total_density	Total - Spindle density (count/min)
AX	total_N1_spindle_sec	Total - Average spindle duration (s) in N1 stage.
AY	total_N2_spindle_sec	Total - Average spindle duration (s) in N2 stage.
AZ	total_N3_spindle_sec	Total - Average spindle duration (s) in N3 stage.
BA	total_N2N3_spindle_sec	Total - Average spindle duration (s) in N2 and N3 stage.
BB	total_NREM_spindle_sec	Total - Average spindle duration (s) in NREM stage (N1, N2, N3).
BC	total_R_spindle_sec	Total - Average spindle duration (s) in REM stage.
BD	total_spindle_sec	Total - Average spindle duration (s)
BE	total_N1_dom_freq_Hz	Total - Spindle dominant frequency (Hz) where spectral energy is maximum in N1 stage.
