A	filename	PSG filename
TF	clock_h1_N1_amp_rms_uV	Hour 1 - Average rms amplitude (uV) in N1 stage.
TG	clock_h1_N2_amp_rms_uV	Hour 1 - Average rms amplitude (uV) in N2 stage.
TH	clock_h1_N3_amp_rms_uV	Hour 1 - Average rms amplitude (uV) in N3 stage.
TI	clock_h1_N2N3_amp_rms_uV	Hour 1 - Average rms amplitude (uV) in N2 and N3 stage.
TJ	clock_h1_NREM_amp_rms_uV	Hour 1 - Average rms amplitude (uV) in NREM stage (N1, N2, N3).
TK	clock_h1_R_amp_rms_uV	Hour 1 - Average rms amplitude (uV) in REM stage.
TL	clock_h1_amp_rms_uV	Hour 1 - Average rms (Root Mean Square) amplitude (uV) in all stages
TM	clock_h1_N1_RSAI_uVsec	Hour 1 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N1 stage (uV sec).
TN	clock_h1_N2_RSAI_uVsec	Hour 1 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N2 stage (uV sec).
TO	clock_h1_N3_RSAI_uVsec	Hour 1 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N3 stage (uV sec).
TP	clock_h1_N2N3_RSAI_uVsec	Hour 1 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N2 and N3 stage (uV sec).
TQ	clock_h1_NREM_RSAI_uVsec	Hour 1 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in NREM stage (N1, N2, N3) (uV sec).
TR	clock_h1_R_RSAI_uVsec	Hour 1 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in REM stage (uV sec).
TS	clock_h1_RSAI_uVsec	Hour 1 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in all stages (uV sec)
TT	clock_h2_valid_min	Hour 2 - Valid (no artifact) duration (min) available for detection minus the REM periods if excluded.
TU	clock_h2_N1_valid_min	Hour 2 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
TV	clock_h2_N2_valid_min	Hour 2 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
TW	clock_h2_N3_valid_min	Hour 2 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
TX	clock_h2_N2N3_valid_min	Hour 2 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
TY	clock_h2_NREM_valid_min	Hour 2 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
TZ	clock_h2_R_valid_min	Hour 2 - Valid (no artifact) duration (min) in REM stage available for detection.
UA	clock_h2_min	Hour 2 duration (min) minus the REM periods if excluded.
UB	clock_h2_N1_spindle_count	Hour 2 - Sleep spindle count in N1 stage.
UC	clock_h2_N2_spindle_count	Hour 2 - Sleep spindle count in N2 stage.
UD	clock_h2_N3_spindle_count	Hour 2 - Sleep spindle count in N3 stage.
UE	clock_h2_N2N3_spindle_count	Hour 2 - Sleep spindle count in N2 and N3 stage.
UF	clock_h2_NREM_spindle_count	Hour 2 - Sleep spindle count in NREM stage (N1, N2, N3).
UG	clock_h2_R_spindle_count	Hour 2 - Sleep spindle count in REM stage.
UH	clock_h2_spindle_count	Hour 2 - Sleep spindle count in all stages.
UI	clock_h2_N1_density	Hour 2 - Spindle density (count/min) in N1 stage.
UJ	clock_h2_N2_density	Hour 2 - Spindle density (count/min) in N2 stage.
UK	clock_h2_N3_density	Hour 2 - Spindle density (count/min) in N3 stage.
UL	clock_h2_N2N3_density	Hour 2 - Spindle density (count/min) in N2 and N3 stage.
UM	clock_h2_NREM_density	Hour 2 - Spindle density (count/min) in NREM stage (N1, N2, N3).
UN	clock_h2_R_density	Hour 2 - Spindle density (count/min) in REM stage.
UO	clock_h2_density	Hour 2 - Spindle density (count/min) in all stages.
UP	clock_h2_N1_spindle_sec	Hour 2 - Average spindle duration (s) in N1 stage.
UQ	clock_h2_N2_spindle_sec	Hour 2 - Average spindle duration (s) in N2 stage.
UR	clock_h2_N3_spindle_sec	Hour 2 - Average spindle duration (s) in N3 stage.
US	clock_h2_N2N3_spindle_sec	Hour 2 - Average spindle duration (s) in N2 and N3 stage.
UT	clock_h2_NREM_spindle_sec	Hour 2 - Average spindle duration (s) in NREM stage (N1, N2, N3).
UU	clock_h2_R_spindle_sec	Hour 2 - Average spindle duration (s) in REM stage.
UV	clock_h2_spindle_sec	Hour 2 - Average spindle duration (s) in all stages.
