name	description
cyc6_evt_interval_count	cycle 6 : number of intervals
cyc6_evt_interval_avg_sec	cycle 6 : average interval (s)
cyc6_evt_index	cycle 6 : number of events per hour
cyc7_evt_count	cycle 7 : Number of events
cyc7_evt_avg_sec	cycle 7 : average duration of the events (s)
cyc7_evt_interval_count	cycle 7 : number of intervals
cyc7_evt_interval_avg_sec	cycle 7 : average interval (s)
cyc7_evt_index	cycle 7 : number of events per hour
cyc8_evt_count	cycle 8 : Number of events
cyc8_evt_avg_sec	cycle 8 : average duration of the events (s)
cyc8_evt_interval_count	cycle 8 : number of intervals
cyc8_evt_interval_avg_sec	cycle 8 : average interval (s)
cyc8_evt_index	cycle 8 : number of events per hour
cyc9_evt_count	cycle 9 : Number of events
cyc9_evt_avg_sec	cycle 9 : average duration of the events (s)
cyc9_evt_interval_count	cycle 9 : number of intervals
cyc9_evt_interval_avg_sec	cycle 9 : average interval (s)
cyc9_evt_index	cycle 9 : number of events per hour
cyc10_evt_count	cycle 10 : Number of events
cyc10_evt_avg_sec	cycle 10 : average duration of the events (s)
cyc10_evt_interval_count	cycle 10 : number of intervals
cyc10_evt_interval_avg_sec	cycle 10 : average interval (s)
cyc10_evt_index	cycle 10 : number of events per hour
