A	filename	PSG filename
YT	clock_h5_N2N3_density	Hour 5 - Spindle density (count/min) in N2 and N3 stage.
YU	clock_h5_NREM_density	Hour 5 - Spindle density (count/min) in NREM stage (N1, N2, N3).
YV	clock_h5_R_density	Hour 5 - Spindle density (count/min) in REM stage.
YW	clock_h5_density	Hour 5 - Spindle density (count/min) in all stages.
YX	clock_h5_N1_spindle_sec	Hour 5 - Average spindle duration (s) in N1 stage.
YY	clock_h5_N2_spindle_sec	Hour 5 - Average spindle duration (s) in N2 stage.
YZ	clock_h5_N3_spindle_sec	Hour 5 - Average spindle duration (s) in N3 stage.
ZA	clock_h5_N2N3_spindle_sec	Hour 5 - Average spindle duration (s) in N2 and N3 stage.
ZB	clock_h5_NREM_spindle_sec	Hour 5 - Average spindle duration (s) in NREM stage (N1, N2, N3).
ZC	clock_h5_R_spindle_sec	Hour 5 - Average spindle duration (s) in REM stage.
ZD	clock_h5_spindle_sec	Hour 5 - Average spindle duration (s) in all stages.
ZE	clock_h5_N1_dom_freq_Hz	Hour 5 - Spindle dominant frequency (Hz) where spectral energy is maximum in N1 stage.
ZF	clock_h5_N2_dom_freq_Hz	Hour 5 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 stage.
ZG	clock_h5_N3_dom_freq_Hz	Hour 5 - Spindle dominant frequency (Hz) where spectral energy is maximum in N3 stage.
ZH	clock_h5_N2N3_dom_freq_Hz	Hour 5 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 and N3 stage.
ZI	clock_h5_NREM_dom_freq_Hz	Hour 5 - Spindle dominant frequency (Hz) where spectral energy is maximum in NREM stage (N1, N2, N3).
ZJ	clock_h5_R_dom_freq_Hz	Hour 5 - Spindle dominant frequency (Hz) where spectral energy is maximum in REM stage.
ZK	clock_h5_dom_freq_Hz	Hour 5 - Spindle dominant frequency (Hz) where spectral energy is maximum in all stages.
ZL	clock_h5_N1_avg_freq_Hz	Hour 5 - Spindle average frequency (Hz) counting peaks in N1 stage.
ZM	clock_h5_N2_avg_freq_Hz	Hour 5 - Spindle average frequency (Hz) counting peaks in N2 stage.
ZN	clock_h5_N3_avg_freq_Hz	Hour 5 - Spindle average frequency (Hz) counting peaks in N3 stage.
