A	filename	PSG filename
VO	clock_h2_N1_amp_rms_uV	Hour 2 - Average rms amplitude (uV) in N1 stage.
VP	clock_h2_N2_amp_rms_uV	Hour 2 - Average rms amplitude (uV) in N2 stage.
VQ	clock_h2_N3_amp_rms_uV	Hour 2 - Average rms amplitude (uV) in N3 stage.
VR	clock_h2_N2N3_amp_rms_uV	Hour 2 - Average rms amplitude (uV) in N2 and N3 stage.
VS	clock_h2_NREM_amp_rms_uV	Hour 2 - Average rms amplitude (uV) in NREM stage (N1, N2, N3).
VT	clock_h2_R_amp_rms_uV	Hour 2 - Average rms amplitude (uV) in REM stage.
VU	clock_h2_amp_rms_uV	Hour 2 - Average rms (Root Mean Square) amplitude (uV) in all stages
VV	clock_h2_N1_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N1 stage (uV sec).
VW	clock_h2_N2_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N2 stage (uV sec).
VX	clock_h2_N3_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N3 stage (uV sec).
VY	clock_h2_N2N3_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N2 and N3 stage (uV sec).
VZ	clock_h2_NREM_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in NREM stage (N1, N2, N3) (uV sec).
WA	clock_h2_R_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in REM stage (uV sec).
WB	clock_h2_RSAI_uVsec	Hour 2 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in all stages (uV sec)
WC	clock_h3_valid_min	Hour 3 - Valid (no artifact) duration (min) available for detection minus the REM periods if excluded.
WD	clock_h3_N1_valid_min	Hour 3 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
WE	clock_h3_N2_valid_min	Hour 3 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
WF	clock_h3_N3_valid_min	Hour 3 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
WG	clock_h3_N2N3_valid_min	Hour 3 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
WH	clock_h3_NREM_valid_min	Hour 3 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
WI	clock_h3_R_valid_min	Hour 3 - Valid (no artifact) duration (min) in REM stage available for detection.
WJ	clock_h3_min	Hour 3 duration (min) minus the REM periods if excluded.
WK	clock_h3_N1_spindle_count	Hour 3 - Sleep spindle count in N1 stage.
WL	clock_h3_N2_spindle_count	Hour 3 - Sleep spindle count in N2 stage.
WM	clock_h3_N3_spindle_count	Hour 3 - Sleep spindle count in N3 stage.
WN	clock_h3_N2N3_spindle_count	Hour 3 - Sleep spindle count in N2 and N3 stage.
WO	clock_h3_NREM_spindle_count	Hour 3 - Sleep spindle count in NREM stage (N1, N2, N3).
WP	clock_h3_R_spindle_count	Hour 3 - Sleep spindle count in REM stage.
WQ	clock_h3_spindle_count	Hour 3 - Sleep spindle count in all stages.
WR	clock_h3_N1_density	Hour 3 - Spindle density (count/min) in N1 stage.
WS	clock_h3_N2_density	Hour 3 - Spindle density (count/min) in N2 stage.
WT	clock_h3_N3_density	Hour 3 - Spindle density (count/min) in N3 stage.
WU	clock_h3_N2N3_density	Hour 3 - Spindle density (count/min) in N2 and N3 stage.
WV	clock_h3_NREM_density	Hour 3 - Spindle density (count/min) in NREM stage (N1, N2, N3).
WW	clock_h3_R_density	Hour 3 - Spindle density (count/min) in REM stage.
WX	clock_h3_density	Hour 3 - Spindle density (count/min) in all stages.
WY	clock_h3_N1_spindle_sec	Hour 3 - Average spindle duration (s) in N1 stage.
WZ	clock_h3_N2_spindle_sec	Hour 3 - Average spindle duration (s) in N2 stage.
XA	clock_h3_N3_spindle_sec	Hour 3 - Average spindle duration (s) in N3 stage.
XB	clock_h3_N2N3_spindle_sec	Hour 3 - Average spindle duration (s) in N2 and N3 stage.
XC	clock_h3_NREM_spindle_sec	Hour 3 - Average spindle duration (s) in NREM stage (N1, N2, N3).
XD	clock_h3_R_spindle_sec	Hour 3 - Average spindle duration (s) in REM stage.
XE	clock_h3_spindle_sec	Hour 3 - Average spindle duration (s) in all stages.
XF	clock_h3_N1_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in N1 stage.
XG	clock_h3_N2_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 stage.
XH	clock_h3_N3_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in N3 stage.
XI	clock_h3_N2N3_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 and N3 stage.
XJ	clock_h3_NREM_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in NREM stage (N1, N2, N3).
XK	clock_h3_R_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in REM stage.
XL	clock_h3_dom_freq_Hz	Hour 3 - Spindle dominant frequency (Hz) where spectral energy is maximum in all stages.
XM	clock_h3_N1_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in N1 stage.
XN	clock_h3_N2_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in N2 stage.
XO	clock_h3_N3_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in N3 stage.
XP	clock_h3_N2N3_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in N2 and N3 stage.
XQ	clock_h3_NREM_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in NREM stage (N1, N2, N3).
XR	clock_h3_R_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in REM stage.
XS	clock_h3_avg_freq_Hz	Hour 3 - Spindle average frequency (Hz) counting peaks in all stages.
XT	clock_h3_N1_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in N1 stage.
XU	clock_h3_N2_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in N2 stage.
XV	clock_h3_N3_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in N3 stage.
XW	clock_h3_N2N3_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in N2 and N3 stage.
XX	clock_h3_NREM_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in NREM stage (N1, N2, N3).
XY	clock_h3_R_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in REM stage.
XZ	clock_h3_amp_pkpk_uV	Hour 3 - Average peak-to-peak amplitude (uV) in all stages
YA	clock_h3_N1_amp_rms_uV	Hour 3 - Average rms amplitude (uV) in N1 stage.
YB	clock_h3_N2_amp_rms_uV	Hour 3 - Average rms amplitude (uV) in N2 stage.
YC	clock_h3_N3_amp_rms_uV	Hour 3 - Average rms amplitude (uV) in N3 stage.
YD	clock_h3_N2N3_amp_rms_uV	Hour 3 - Average rms amplitude (uV) in N2 and N3 stage.
YE	clock_h3_NREM_amp_rms_uV	Hour 3 - Average rms amplitude (uV) in NREM stage (N1, N2, N3).
YF	clock_h3_R_amp_rms_uV	Hour 3 - Average rms amplitude (uV) in REM stage.
YG	clock_h3_amp_rms_uV	Hour 3 - Average rms (Root Mean Square) amplitude (uV) in all stages
YH	clock_h3_N1_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N1 stage (uV sec).
YI	clock_h3_N2_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N2 stage (uV sec).
YJ	clock_h3_N3_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N3 stage (uV sec).
YK	clock_h3_N2N3_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N2 and N3 stage (uV sec).
YL	clock_h3_NREM_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in NREM stage (N1, N2, N3) (uV sec).
YM	clock_h3_R_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in REM stage (uV sec).
YN	clock_h3_RSAI_uVsec	Hour 3 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in all stages (uV sec)
YO	clock_h4_valid_min	Hour 4 - Valid (no artifact) duration (min) available for detection minus the REM periods if excluded.
YP	clock_h4_N1_valid_min	Hour 4 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
YQ	clock_h4_N2_valid_min	Hour 4 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
