A	filename	PSG filename
BZM	stage_h8_slope_0_min	Stage Hour 8 - Average slow wave slope (uV/s) from 0 to min of negative in all stages.
BZN	stage_h8_N1_slope_min_max	Stage Hour 8 - Average slow wave slope (uV/s) from min of negative to max of positive in N1 stage.
BZO	stage_h8_N2_slope_min_max	Stage Hour 8 - Average slow wave slope (uV/s) from min of negative to max of positive in N2 stage.
BZP	stage_h8_N3_slope_min_max	Stage Hour 8 - Average slow wave slope (uV/s) from min of negative to max of positive in N3 stage.
BZQ	stage_h8_N2N3_slope_min_max	Stage Hour 8 - Average slow wave slope (uV/s) from min of negative to max of positive in N2 and N3 stage.
BZR	stage_h8_NREM_slope_min_max	Stage Hour 8 - Average slow wave slope (uV/s) from min of negative to max of positive in NREM stage (N1, N2, N3).
BZS	stage_h8_R_slope_min_max	Stage Hour 8 - Average slow wave slope (uV/s) from min of negative to max of positive in REM stage.
BZT	stage_h8_slope_min_max	Stage Hour 8 - Average slow wave slope (uV/s) from min of negative to max of positive in all stages.
BZU	stage_h8_N1_slope_max_0	Stage Hour 8 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in N1 stage.
BZV	stage_h8_N2_slope_max_0	Stage Hour 8 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in N2 stage.
BZW	stage_h8_N3_slope_max_0	Stage Hour 8 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in N3 stage.
BZX	stage_h8_N2N3_slope_max_0	Stage Hour 8 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in N2 and N3 stage.
BZY	stage_h8_NREM_slope_max_0	Stage Hour 8 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in NREM stage (N1, N2, N3).
BZZ	stage_h8_R_slope_max_0	Stage Hour 8 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in REM stage.
CAA	stage_h8_slope_max_0	Stage Hour 8 - Average slow wave slope (uV/s) from max of positive to the 0 crossing in all stages.
CAB	stage_h8_N1_trans_freq_Hz	Stage Hour 8 - Average slow wave transition frequency (Hz) in N1 stage.
CAC	stage_h8_N2_trans_freq_Hz	Stage Hour 8 - Average slow wave transition frequency (Hz) in N2 stage.
CAD	stage_h8_N3_trans_freq_Hz	Stage Hour 8 - Average slow wave transition frequency (Hz) in N3 stage.
CAE	stage_h8_N2N3_trans_freq_Hz	Stage Hour 8 - Average slow wave transition frequency (Hz) in N2 and N3 stage.
CAF	stage_h8_NREM_trans_freq_Hz	Stage Hour 8 - Average slow wave transition frequency (Hz) in NREM stage (N1, N2, N3).
CAG	stage_h8_R_trans_freq_Hz	Stage Hour 8 - Average slow wave transition frequency (Hz) in REM stage.
CAH	stage_h8_trans_freq_Hz	Stage Hour 8 - Average slow wave transition frequency (Hz) in all stages.
CAI	stage_h9_N1_valid_min	Stage Hour 9 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
CAJ	stage_h9_N2_valid_min	Stage Hour 9 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
CAK	stage_h9_N3_valid_min	Stage Hour 9 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
CAL	stage_h9_N2N3_valid_min	Stage Hour 9 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
CAM	stage_h9_NREM_valid_min	Stage Hour 9 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
CAN	stage_h9_R_valid_min	Stage Hour 9 - Valid (no artifact) duration (min) in REM stage available for detection.
CAO	stage_h9_min	Stage Hour 9 duration (min) minus the REM periods if excluded.
CAP	stage_h9_N1_sw_count	Stage Hour 9 - Slow wave count in N1 stage.
CAQ	stage_h9_N2_sw_count	Stage Hour 9 - Slow wave count in N2 stage.
CAR	stage_h9_N3_sw_count	Stage Hour 9 - Slow wave count in N3 stage.
CAS	stage_h9_N2N3_sw_count	Stage Hour 9 - Slow wave count in N2 and N3 stage.
CAT	stage_h9_NREM_sw_count	Stage Hour 9 - Slow wave count in NREM stage (N1, N2, N3).
