A	filename	PSG filename
DY	hour6_N1_fft_win_count	Hour 6 - The number of valid fft windows in N1.
DZ	hour6_N1_fft_win_valid_count	Hour 6 - The number of valid fft windows in N1.
EA	hour6_N2_fft_win_count	Hour 6 - The number of valid fft windows in N2.
EB	hour6_N2_fft_win_valid_count	Hour 6 - The number of valid fft windows in N2.
EC	hour6_N3_fft_win_count	Hour 6 - The number of valid fft windows in N3.
ED	hour6_N3_fft_win_valid_count	Hour 6 - The number of valid fft windows in N3.
EE	hour6_NREM_fft_win_count	Hour 6 - The number of valid fft windows in NREM.
EF	hour6_NREM_fft_win_valid_count	Hour 6 - The number ofhour1 valid fft windows in NREM.
EG	hour6_R_fft_win_count	Hour 6 - The number of valid fft windows in rem.
EH	hour6_R_fft_win_valid_count	Hour 6 - The number of valid fft windows in rem.
EI	hour6_Unscored_fft_win_count	Hour 6 - The number of valid fft windows unscored.
EJ	hour6_Unscored_fft_win_valid_count	Hour 6 - The number of valid fft windows unscored.
EK	hour6_fft_win_count	Hour 6 - The total number of valid fft windows.
EL	hour6_fft_win_valid_count	Hour 6 - The total number of valid fft windows.
EM	hour7_W_fft_win_count	Hour 7 - The number of valid fft windows in awake.
EN	hour7_W_fft_win_valid_count	Hour 7 - The number of valid fft windows in awake.
EO	hour7_N1_fft_win_count	Hour 7 - The number of valid fft windows in N1.
EP	hour7_N1_fft_win_valid_count	Hour 7 - The number of valid fft windows in N1.
EQ	hour7_N2_fft_win_count	Hour 7 - The number of valid fft windows in N2.
ER	hour7_N2_fft_win_valid_count	Hour 7 - The number of valid fft windows in N2.
ES	hour7_N3_fft_win_count	Hour 7 - The number of valid fft windows in N3.
ET	hour7_N3_fft_win_valid_count	Hour 7 - The number of valid fft windows in N3.
EU	hour7_NREM_fft_win_count	Hour 7 - The number of valid fft windows in NREM.
EV	hour7_NREM_fft_win_valid_count	Hour 7 - The number ofhour1 valid fft windows in NREM.
EW	hour7_R_fft_win_count	Hour 7 - The number of valid fft windows in rem.
EX	hour7_R_fft_win_valid_count	Hour 7 - The number of valid fft windows in rem.
EY	hour7_Unscored_fft_win_count	Hour 7 - The number of valid fft windows unscored.
EZ	hour7_Unscored_fft_win_valid_count	Hour 7 - The number of valid fft windows unscored.
FA	hour7_fft_win_count	Hour 7 - The total number of valid fft windows.
FB	hour7_fft_win_valid_count	Hour 7 - The total number of valid fft windows.
FC	hour8_W_fft_win_count	Hour 8 - The number of valid fft windows in awake.
FD	hour8_W_fft_win_valid_count	Hour 8 - The number of valid fft windows in awake.
FE	hour8_N1_fft_win_count	Hour 8 - The number of valid fft windows in N1.
FF	hour8_N1_fft_win_valid_count	Hour 8 - The number of valid fft windows in N1.
FG	hour8_N2_fft_win_count	Hour 8 - The number of valid fft windows in N2.
FH	hour8_N2_fft_win_valid_count	Hour 8 - The number of valid fft windows in N2.
FI	hour8_N3_fft_win_count	Hour 8 - The number of valid fft windows in N3.
FJ	hour8_N3_fft_win_valid_count	Hour 8 - The number of valid fft windows in N3.
FK	hour8_NREM_fft_win_count	Hour 8 - The number of valid fft windows in NREM.
FL	hour8_NREM_fft_win_valid_count	Hour 8 - The number ofhour1 valid fft windows in NREM.
FM	hour8_R_fft_win_count	Hour 8 - The number of valid fft windows in rem.
FN	hour8_R_fft_win_valid_count	Hour 8 - The number of valid fft windows in rem.
FO	hour8_Unscored_fft_win_count	Hour 8 - The number of valid fft windows unscored.
FP	hour8_Unscored_fft_win_valid_count	Hour 8 - The number of valid fft windows unscored.
FQ	hour8_fft_win_count	Hour 8 - The total number of valid fft windows.
FR	hour8_fft_win_valid_count	Hour 8 - The total number of valid fft windows.
FS	hour9_W_fft_win_count	Hour 9 - The number of valid fft windows in awake.
FT	hour9_W_fft_win_valid_count	Hour 9 - The number of valid fft windows in awake.
FU	hour9_N1_fft_win_count	Hour 9 - The number of valid fft windows in N1.
FV	hour9_N1_fft_win_valid_count	Hour 9 - The number of valid fft windows in N1.
FW	hour9_N2_fft_win_count	Hour 9 - The number of valid fft windows in N2.
FX	hour9_N2_fft_win_valid_count	Hour 9 - The number of valid fft windows in N2.
FY	hour9_N3_fft_win_count	Hour 9 - The number of valid fft windows in N3.
FZ	hour9_N3_fft_win_valid_count	Hour 9 - The number of valid fft windows in N3.
GA	hour9_NREM_fft_win_count	Hour 9 - The number of valid fft windows in NREM.
GB	hour9_NREM_fft_win_valid_count	Hour 9 - The number ofhour1 valid fft windows in NREM.
GC	hour9_R_fft_win_count	Hour 9 - The number of valid fft windows in rem.
GD	hour9_R_fft_win_valid_count	Hour 9 - The number of valid fft windows in rem.
GE	hour9_Unscored_fft_win_count	Hour 9 - The number of valid fft windows unscored.
GF	hour9_Unscored_fft_win_valid_count	Hour 9 - The number of valid fft windows unscored.
GG	hour9_fft_win_count	Hour 9 - The total number of valid fft windows.
GH	hour9_fft_win_valid_count	Hour 9 - The total number of valid fft windows.
GI	hour10_W_fft_win_count	Hour 10 - The number of valid fft windows in awake.
GJ	hour10_W_fft_win_valid_count	Hour 10 - The number of valid fft windows in awake.
GK	hour10_N1_fft_win_count	Hour 10 - The number of valid fft windows in N1.
GL	hour10_N1_fft_win_valid_count	Hour 10 - The number of valid fft windows in N1.
GM	hour10_N2_fft_win_count	Hour 10 - The number of valid fft windows in N2.
GN	hour10_N2_fft_win_valid_count	Hour 10 - The number of valid fft windows in N2.
GO	hour10_N3_fft_win_count	Hour 10 - The number of valid fft windows in N3.
GP	hour10_N3_fft_win_valid_count	Hour 10 - The number of valid fft windows in N3.
GQ	hour10_NREM_fft_win_count	Hour 10 - The number of valid fft windows in NREM.
GR	hour10_NREM_fft_win_valid_count	Hour 10 - The number ofhour1 valid fft windows in NREM.
GS	hour10_R_fft_win_count	Hour 10 - The number of valid fft windows in rem.
