A	filename	PSG filename
WZ	stage_h1_W_act	Hour 1 - The spectral power (uV^2) in awake.
XA	stage_h1_N1_act	Hour 1 - The spectral power (uV^2) in N1.
XB	stage_h1_N2_act	Hour 1 - The spectral power (uV^2) in N2.
XC	stage_h1_N3_act	Hour 1 - The spectral power (uV^2) in N3.
XD	stage_h1_N2N3_act	Hour 1 - The spectral power (uV^2) in N2 and N3.
XE	stage_h1_NREM_act	Hour 1 - The spectral power (uV^2) in NREM.
XF	stage_h1_R_act	Hour 1 - The spectral power (uV^2) in rem.
XG	stage_h1_Unscored_act	Hour 1 - The spectral power (uV^2) unscored.
XH	stage_h2_act	Hour 2 - The spectral power (uV^2)
XI	stage_h2_W_act	Hour 2 - The spectral power (uV^2) in awake.
XJ	stage_h2_N1_act	Hour 2 - The spectral power (uV^2) in N1.
XK	stage_h2_N2_act	Hour 2 - The spectral power (uV^2) in N2.
XL	stage_h2_N3_act	Hour 2 - The spectral power (uV^2) in N3.
XM	stage_h2_N2N3_act	Hour 2 - The spectral power (uV^2) in N2 and N3.
XN	stage_h2_NREM_act	Hour 2 - The spectral power (uV^2) in NREM.
XO	stage_h2_R_act	Hour 2 - The spectral power (uV^2) in rem.
XP	stage_h2_Unscored_act	Hour 2 - The spectral power (uV^2) unscored.
XQ	stage_h3_act	Hour 3 - The spectral power (uV^2)
XR	stage_h3_W_act	Hour 3 - The spectral power (uV^2) in awake.
XS	stage_h3_N1_act	Hour 3 - The spectral power (uV^2) in N1.
XT	stage_h3_N2_act	Hour 3 - The spectral power (uV^2) in N2.
XU	stage_h3_N3_act	Hour 3 - The spectral power (uV^2) in N3.
XV	stage_h3_N2N3_act	Hour 3 - The spectral power (uV^2) in N2 and N3.
XW	stage_h3_NREM_act	Hour 3 - The spectral power (uV^2) in NREM.
XX	stage_h3_R_act	Hour 3 - The spectral power (uV^2) in rem.
XY	stage_h3_Unscored_act	Hour 3 - The spectral power (uV^2) unscored.
XZ	stage_h4_act	Hour 4 - The spectral power (uV^2)
YA	stage_h4_W_act	Hour 4 - The spectral power (uV^2) in awake.
YB	stage_h4_N1_act	Hour 4 - The spectral power (uV^2) in N1.
YC	stage_h4_N2_act	Hour 4 - The spectral power (uV^2) in N2.
YD	stage_h4_N3_act	Hour 4 - The spectral power (uV^2) in N3.
YE	stage_h4_N2N3_act	Hour 4 - The spectral power (uV^2) in N2 and N3.
YF	stage_h4_NREM_act	Hour 4 - The spectral power (uV^2) in NREM.
YG	stage_h4_R_act	Hour 4 - The spectral power (uV^2) in rem.
YH	stage_h4_Unscored_act	Hour 4 - The spectral power (uV^2) unscored.
YI	stage_h5_act	Hour 5 - The spectral power (uV^2)
YJ	stage_h5_W_act	Hour 5 - The spectral power (uV^2) in awake.
YK	stage_h5_N1_act	Hour 5 - The spectral power (uV^2) in N1.
YL	stage_h5_N2_act	Hour 5 - The spectral power (uV^2) in N2.
YM	stage_h5_N3_act	Hour 5 - The spectral power (uV^2) in N3.
YN	stage_h5_N2N3_act	Hour 5 - The spectral power (uV^2) in N2 and N3.
YO	stage_h5_NREM_act	Hour 5 - The spectral power (uV^2) in NREM.
YP	stage_h5_R_act	Hour 5 - The spectral power (uV^2) in rem.
YQ	stage_h5_Unscored_act	Hour 5 - The spectral power (uV^2) unscored.
YR	stage_h6_act	Hour 6 - The spectral power (uV^2)
YS	stage_h6_W_act	Hour 6 - The spectral power (uV^2) in awake.
YT	stage_h6_N1_act	Hour 6 - The spectral power (uV^2) in N1.
YU	stage_h6_N2_act	Hour 6 - The spectral power (uV^2) in N2.
YV	stage_h6_N3_act	Hour 6 - The spectral power (uV^2) in N3.
YW	stage_h6_N2N3_act	Hour 6 - The spectral power (uV^2) in N2 and N3.
YX	stage_h6_NREM_act	Hour 6 - The spectral power (uV^2) in NREM.
YY	stage_h6_R_act	Hour 6 - The spectral power (uV^2) in rem.
YZ	stage_h6_Unscored_act	Hour 6 - The spectral power (uV^2) unscored.
ZA	stage_h7_act	Hour 7 - The spectral power (uV^2)
ZB	stage_h7_W_act	Hour 7 - The spectral power (uV^2) in awake.
ZC	stage_h7_N1_act	Hour 7 - The spectral power (uV^2) in N1.
ZD	stage_h7_N2_act	Hour 7 - The spectral power (uV^2) in N2.
ZE	stage_h7_N3_act	Hour 7 - The spectral power (uV^2) in N3.
