A	filename	PSG filename
ALH	stage_h2_N1_valid_min	Stage Hour 2 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
ALI	stage_h2_N2_valid_min	Stage Hour 2 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
ALJ	stage_h2_N3_valid_min	Stage Hour 2 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
ALK	stage_h2_N2N3_valid_min	Stage Hour 2 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
ALL	stage_h2_NREM_valid_min	Stage Hour 2 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
ALM	stage_h2_R_valid_min	Stage Hour 2 - Valid (no artifact) duration (min) in REM stage available for detection.
ALN	stage_h2_min	Stage Hour 2 duration (min) minus the REM periods if excluded.
ALO	stage_h2_N1_spindle_count	Stage Hour 2 - Sleep spindle count in N1 stage.
ALP	stage_h2_N2_spindle_count	Stage Hour 2 - Sleep spindle count in N2 stage.
ALQ	stage_h2_N3_spindle_count	Stage Hour 2 - Sleep spindle count in N3 stage.
ALR	stage_h2_N2N3_spindle_count	Stage Hour 2 - Sleep spindle count in N2 and N3 stage.
ALS	stage_h2_NREM_spindle_count	Stage Hour 2 - Sleep spindle count in NREM stage (N1, N2, N3).
ALT	stage_h2_R_spindle_count	Stage Hour 2 - Sleep spindle count in REM stage.
ALU	stage_h2_spindle_count	Stage Hour 2 - Sleep spindle count in all stages.
ALV	stage_h2_N1_density	Stage Hour 2 - Spindle density (count/min) in N1 stage.
ALW	stage_h2_N2_density	Stage Hour 2 - Spindle density (count/min) in N2 stage.
ALX	stage_h2_N3_density	Stage Hour 2 - Spindle density (count/min) in N3 stage.
ALY	stage_h2_N2N3_density	Stage Hour 2 - Spindle density (count/min) in N2 and N3 stage.
ALZ	stage_h2_NREM_density	Stage Hour 2 - Spindle density (count/min) in NREM stage (N1, N2, N3).
AMA	stage_h2_R_density	Stage Hour 2 - Spindle density (count/min) in REM stage.
AMB	stage_h2_N1_spindle_sec	Stage Hour 2 - Average spindle duration (s) in N1 stage.
AMC	stage_h2_N2_spindle_sec	Stage Hour 2 - Average spindle duration (s) in N2 stage.
AMD	stage_h2_N3_spindle_sec	Stage Hour 2 - Average spindle duration (s) in N3 stage.
AME	stage_h2_N2N3_spindle_sec	Stage Hour 2 - Average spindle duration (s) in N2 and N3 stage.
AMF	stage_h2_NREM_spindle_sec	Stage Hour 2 - Average spindle duration (s) in NREM stage (N1, N2, N3).
AMG	stage_h2_R_spindle_sec	Stage Hour 2 - Average spindle duration (s) in REM stage.
AMH	stage_h2_spindle_sec	Stage Hour 2 - Average spindle duration (s) in all stages.
AMI	stage_h2_N1_dom_freq_Hz	Stage Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in N1 stage.
AMJ	stage_h2_N2_dom_freq_Hz	Stage Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 stage.
AMK	stage_h2_N3_dom_freq_Hz	Stage Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in N3 stage.
AML	stage_h2_N2N3_dom_freq_Hz	Stage Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in N2 and N3 stage.
AMM	stage_h2_NREM_dom_freq_Hz	Stage Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in NREM stage (N1, N2, N3).
AMN	stage_h2_R_dom_freq_Hz	Stage Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in REM stage.
AMO	stage_h2_dom_freq_Hz	Stage Hour 2 - Spindle dominant frequency (Hz) where spectral energy is maximum in all stages.
AMP	stage_h2_N1_avg_freq_Hz	Stage Hour 2 - Spindle average frequency (Hz) counting peaks in N1 stage.
AMQ	stage_h2_N2_avg_freq_Hz	Stage Hour 2 - Spindle average frequency (Hz) counting peaks in N2 stage.
AMR	stage_h2_N3_avg_freq_Hz	Stage Hour 2 - Spindle average frequency (Hz) counting peaks in N3 stage.
AMS	stage_h2_N2N3_avg_freq_Hz	Stage Hour 2 - Spindle average frequency (Hz) counting peaks in N2 and N3 stage.
AMT	stage_h2_NREM_avg_freq_Hz	Stage Hour 2 - Spindle average frequency (Hz) counting peaks in NREM stage (N1, N2, N3).
AMU	stage_h2_R_avg_freq_Hz	Stage Hour 2 - Spindle average frequency (Hz) counting peaks in REM stage.
AMV	stage_h2_avg_freq_Hz	Stage Hour 2 - Spindle average frequency (Hz) counting peaks in all stages.
AMW	stage_h2_N1_amp_pkpk_uV	Stage Hour 2 - Average peak-to-peak amplitude (µV) in N1 stage.
AMX	stage_h2_N2_amp_pkpk_uV	Stage Hour 2 - Average peak-to-peak amplitude (µV) in N2 stage.
AMY	stage_h2_N3_amp_pkpk_uV	Stage Hour 2 - Average peak-to-peak amplitude (µV) in N3 stage.
AMZ	stage_h2_N2N3_amp_pkpk_uV	Stage Hour 2 - Average peak-to-peak amplitude (µV) in N2 and N3 stage.
ANA	stage_h2_NREM_amp_pkpk_uV	Stage Hour 2 - Average peak-to-peak amplitude (µV) in NREM stage (N1, N2, N3).
ANB	stage_h2_R_amp_pkpk_uV	Stage Hour 2 - Average peak-to-peak amplitude (µV) in REM stage.
ANC	stage_h2_amp_pkpk_uV	Stage Hour 2 - Average peak-to-peak amplitude (µV) in all stages
AND	stage_h2_N1_amp_rms_uV	Stage Hour 2 - Average rms amplitude (µV) in N1 stage.
ANE	stage_h2_N2_amp_rms_uV	Stage Hour 2 - Average rms amplitude (µV) in N2 stage.
ANF	stage_h2_N3_amp_rms_uV	Stage Hour 2 - Average rms amplitude (µV) in N3 stage.
ANG	stage_h2_N2N3_amp_rms_uV	Stage Hour 2 - Average rms amplitude (µV) in N2 and N3 stage.
ANH	stage_h2_NREM_amp_rms_uV	Stage Hour 2 - Average rms amplitude (µV) in NREM stage (N1, N2, N3).
ANI	stage_h2_R_amp_rms_uV	Stage Hour 2 - Average rms amplitude (µV) in REM stage.
ANJ	stage_h2_amp_rms_uV	Stage Hour 2 - Average rms (Root Mean Square) amplitude (µV) in all stages
ANK	stage_h3_N1_valid_min	Stage Hour 3 - Valid (no artifact) duration (min) in N1 stage available for detection minus the REM periods if excluded.
ANL	stage_h3_N2_valid_min	Stage Hour 3 - Valid (no artifact) duration (min) in N2 stage available for detection minus the REM periods if excluded.
ANM	stage_h3_N3_valid_min	Stage Hour 3 - Valid (no artifact) duration (min) in N3 stage available for detection minus the REM periods if excluded.
ANN	stage_h3_N2N3_valid_min	Stage Hour 3 - Valid (no artifact) duration (min) in N2 and N3 stage available for detection minus the REM periods if excluded.
ANO	stage_h3_NREM_valid_min	Stage Hour 3 - Valid (no artifact) duration (min) in NREM stage (N1, N2, N3) available for detection minus the REM periods if excluded.
ANP	stage_h3_R_valid_min	Stage Hour 3 - Valid (no artifact) duration (min) in REM stage available for detection.
ANQ	stage_h3_min	Stage Hour 3 duration (min) minus the REM periods if excluded.
ANR	stage_h3_N1_spindle_count	Stage Hour 3 - Sleep spindle count in N1 stage.
