A	filename	PSG filename
AAO	clock_h4_R_amp_pkpk_uV	Hour 4 - Average peak-to-peak amplitude (uV) in REM stage.
AAP	clock_h4_amp_pkpk_uV	Hour 4 - Average peak-to-peak amplitude (uV) in all stages
AAQ	clock_h4_N1_amp_rms_uV	Hour 4 - Average rms amplitude (uV) in N1 stage.
AAR	clock_h4_N2_amp_rms_uV	Hour 4 - Average rms amplitude (uV) in N2 stage.
AAS	clock_h4_N3_amp_rms_uV	Hour 4 - Average rms amplitude (uV) in N3 stage.
AAT	clock_h4_N2N3_amp_rms_uV	Hour 4 - Average rms amplitude (uV) in N2 and N3 stage.
AAU	clock_h4_NREM_amp_rms_uV	Hour 4 - Average rms amplitude (uV) in NREM stage (N1, N2, N3).
AAV	clock_h4_R_amp_rms_uV	Hour 4 - Average rms amplitude (uV) in REM stage.
AAW	clock_h4_amp_rms_uV	Hour 4 - Average rms (Root Mean Square) amplitude (uV) in all stages
AAX	clock_h4_N1_RSAI_uVsec	Hour 4 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N1 stage (uV sec).
AAY	clock_h4_N2_RSAI_uVsec	Hour 4 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N2 stage (uV sec).
AAZ	clock_h4_N3_RSAI_uVsec	Hour 4 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N3 stage (uV sec).
ABA	clock_h4_N2N3_RSAI_uVsec	Hour 4 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in N2 and N3 stage (uV sec).
ABB	clock_h4_NREM_RSAI_uVsec	Hour 4 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in NREM stage (N1, N2, N3) (uV sec).
ABC	clock_h4_R_RSAI_uVsec	Hour 4 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in REM stage (uV sec).
ABD	clock_h4_RSAI_uVsec	Hour 4 - RMS Spindle Activity Index (sum of RMS amplitude x spindle duration) in all stages (uV sec)
